"queen","mutation","min_similarity","mean_similarity","Q1_similarity","med_similarity","Q3_similarity","max_similarity","sd_similarity"
8,"0.01",0.970671875,0.988995935833333,0.98865625,0.98903125,0.989390625,0.991171875,0.000595891528466152
8,"0.05",0.924046875,0.947835860520833,0.94715625,0.947953125,0.948703125,0.95321875,0.00136696865942526
8,"0.1",0.86975,0.901834848125,0.9009375,0.902,0.903046875,0.9080625,0.00210741447951561
8,"0.15",0.81890625,0.861166023229167,0.86003125,0.86121875,0.862375,0.869671875,0.00178341162047601
8,"0.2",0.769515625,0.824277392708333,0.822984375,0.824328125,0.825625,0.83246875,0.00203022408627344
8,"0.25",0.7248125,0.7898851496875,0.78840625,0.79,0.791484375,0.799828125,0.00242670359790497
8,"0.3",0.669078125,0.757082064947917,0.75540625,0.757265625,0.7589375,0.767703125,0.00274998341403186
8,"0.35",0.620203125,0.725247165208333,0.723484375,0.725484375,0.7273125,0.736125,0.00311399047311255
8,"0.4",0.577578125,0.693688462239583,0.69153125,0.693828125,0.695984375,0.706140625,0.00352623809202928
8,"0.45",0.526578125,0.661566065572917,0.659390625,0.66171875,0.6639375,0.67546875,0.00348363317690835
8,"0.5",0.45725,0.6251867315625,0.622625,0.626125,0.62878125,0.641734375,0.00532428625598446
8,"0.55",0.393265625,0.57828845921875,0.574921875,0.579625,0.58284375,0.59790625,0.00664295501271141
8,"0.6",0.360953125,0.544041525060596,0.5399375,0.544953125,0.549046875,0.564890625,0.0071259360266936
8,"0.65",0.370062499999999,0.494493516065432,0.489140625,0.495765625,0.500671875,0.519953125,0.00861623390187354
8,"0.7",0.343374999999999,0.441585635021516,0.436234375,0.442875,0.44815625,0.471921875,0.0093835588549191
8,"0.75",0.273234375,0.379089573498855,0.37265625,0.38040625,0.386625,0.410671875,0.0105948226233703
8,"0.8",0.0969551282051282,0.307574527874096,0.30053125,0.308484375,0.315859375,0.343578125,0.0119562765396801
8,"0.85",0.0425145348837209,0.226310798151327,0.21821875,0.22853125,0.23721875,0.315104166666667,0.0173710077089718
8,"0.9",0.0190548780487805,0.128861299521616,0.11809375,0.13234375,0.1435,0.181234375,0.0217948682346462
8,"0.95",0.020422149122807,0.0498877788459474,0.0415625,0.0491249999999999,0.058125,0.0912812500000001,0.0126506642579201
8,"1.0",0.0103902284263959,0.0195888958209415,0.01696875,0.01921875,0.0223323140739769,0.0303960020242915,0.00387713779980337
8,"variable",0.0364583333333333,0.158143233925867,0.156875,0.1588125,0.160859375,0.195109374999999,0.00872183563854044
9,"0.01",0.96228125,0.988781413125,0.988421875,0.9888125,0.9891875,0.991046875,0.000606042016050907
9,"0.05",0.903359375,0.946550705625,0.945796875,0.9465625,0.94734375,0.951390625,0.00118966250056787
9,"0.1",0.8615,0.898163088541667,0.897140625,0.898171875,0.8991875,0.905390625,0.00153629376053815
9,"0.15",0.810078125,0.853812972291667,0.8525625,0.85384375,0.855109375,0.86290625,0.00199567117083071
9,"0.2",0.761,0.8125676634375,0.811140625,0.8125625,0.814,0.8221875,0.00215976710197191
9,"0.25",0.70734375,0.773918249270833,0.772296875,0.773921875,0.775546875,0.784125,0.00245373735549965
9,"0.3",0.645843749999999,0.736702938489583,0.73490625,0.7366875,0.738515625,0.7480625,0.0028720973005079
9,"0.35",0.597265625,0.701154429427083,0.698890625,0.70121875,0.703484375,0.713625,0.00342728367388268
9,"0.4",0.55225,0.66476647796875,0.662265625,0.664734375,0.667328125,0.680265625,0.00407044233033891
9,"0.45",0.48,0.626211333333333,0.62321875,0.626234375,0.6291875,0.645328125,0.00455501085399706
9,"0.5",0.443765625,0.587044012447917,0.58309375,0.586703125,0.59065625,0.6084375,0.00538620988215165
9,"0.55",0.364640625,0.538268512291667,0.533703125,0.538328125,0.542734375,0.560265625,0.00677646899089717
9,"0.6",0.31265625,0.4993984903125,0.49309375,0.4991875,0.505421875,0.525796875,0.00793133589578241
9,"0.65",0.26375,0.44965561828125,0.441484375,0.448453125,0.4571875,0.480234375,0.0103642386422663
9,"0.7",0.207921875,0.393334742604167,0.385453125,0.39315625,0.400671875,0.426765625,0.0101766020959129
9,"0.75",0.1575,0.329577308385417,0.321390625,0.32928125,0.337109375,0.368921875,0.0108419281124299
9,"0.8",0.0940625000000001,0.258762302918661,0.250734375,0.2585,0.266890625,0.30346875,0.0124891937041672
9,"0.85",0.0325892857142857,0.174764459743201,0.16683203125,0.1773671875,0.186484375,0.235258152173913,0.0186335591119207
9,"0.9",0.0107853982300885,0.0756613385604782,0.0617968749999999,0.076140625,0.0900000000000001,0.135796875,0.0200216517281502
9,"0.95",0.0091875,0.022253890122308,0.01711328125,0.021390625,0.02646875,0.0486875,0.00668588312129441
9,"1.0",0.00284090909090909,0.00929758423855152,0.00812109374999999,0.00901562500000001,0.01021875,0.018296875,0.00164226432260365
9,"variable",0.117665816326531,0.156275723054755,0.15453125,0.156203125,0.157921875,0.25,0.00262517346897408
10,"0.01",0.963140625,0.98869932453125,0.988359375,0.988703125,0.9890625,0.990828125,0.000558424111797172
10,"0.05",0.9141875,0.945227489635417,0.944546875,0.945375,0.94615625,0.950390625,0.00150207417608015
10,"0.1",0.856359375,0.894899587135417,0.893984375,0.895046875,0.8960625,0.90153125,0.00198474484925963
10,"0.15",0.800640625,0.847736429270833,0.84646875,0.847765625,0.849046875,0.85575,0.00199454993978233
10,"0.2",0.715453125,0.804016845885417,0.802640625,0.80409375,0.805515625,0.8131875,0.00235862404817377
10,"0.25",0.683859374999999,0.761786952916667,0.76025,0.761859375,0.76340625,0.7718125,0.00262284244589071
10,"0.3",0.631546875,0.721301263072917,0.719578125,0.721390625,0.723109375,0.73146875,0.00278706246607038
10,"0.35",0.5670625,0.681838561927083,0.67990625,0.681984375,0.68391015625,0.693359375,0.00319641542492552
10,"0.4",0.526640625,0.64115282296875,0.63903125,0.641328125,0.643453125,0.65396875,0.00354394694821056
10,"0.45",0.4625625,0.601968761979167,0.59971875,0.602125,0.604390625,0.615703125,0.00377042278176103
10,"0.5",0.39778125,0.55937292140625,0.556515625,0.559828125,0.562625,0.574859375,0.00505336388560603
10,"0.55",0.336078125,0.50474826078125,0.5014375,0.505,0.508421875,0.523921875,0.00548900032944377
10,"0.6",0.290578125,0.466228710364583,0.462890625,0.46725,0.470640625,0.485421875,0.006544626578629
10,"0.65",0.23153125,0.4144553803125,0.4106875,0.41496875,0.41878125,0.435875,0.00635211872365788
10,"0.7",0.179453125,0.35688396671875,0.352046875,0.35753125,0.3623125,0.382453125,0.00768113495368142
10,"0.75",0.120453125,0.293844915364583,0.288,0.294796875,0.300484375,0.324609375,0.00958953352234505
10,"0.8",0.0424107142857143,0.222471222612433,0.2173125,0.22534375,0.232,0.277994791666667,0.017005360193961
10,"0.85",0.015625,0.120333574465552,0.0982968749999999,0.128828125,0.14790625,0.180953125,0.0346007770011548
10,"0.9",0.00560897435897436,0.0286916848035667,0.0175156249999999,0.0252343749999999,0.0365312500000001,0.0957500000000001,0.0137907387938077
10,"0.95",0.00596875,0.0098141156038863,0.00832812499999999,0.0091875,0.01065625,0.0276875,0.00223533619187568
10,"1.0",0.00347222222222222,0.00540741124014598,0.005,0.00534375,0.005734375,0.015625,0.000620118028717055
10,"variable",0.14471435546875,0.154702619138841,0.153140625,0.154671875,0.15621875,0.1749375,0.00233542631659578
11,"0.01",0.964421875,0.9885745484375,0.988234375,0.98859375,0.9889375,0.9906875,0.000563888018259062
11,"0.05",0.910625,0.944347906614583,0.94365625,0.944484375,0.94525,0.949390625,0.0014720411630264
11,"0.1",0.848703125,0.892549916822917,0.8915,0.8925625,0.893609375,0.90071875,0.00162241370832615
11,"0.15",0.788140625,0.843273251145833,0.8423125,0.843640625,0.84490625,0.852,0.00300289124166321
11,"0.2",0.67409375,0.796710669895833,0.795359375,0.796875,0.798390625,0.80759375,0.00305442682254768
11,"0.25",0.670765624999999,0.752358960989583,0.750765625,0.752390625,0.754,0.76290625,0.00255629842690989
11,"0.3",0.604953124999999,0.708949965260417,0.70746875,0.709234375,0.710953125,0.720796875,0.00391526606927295
11,"0.35",0.565828125,0.665891560052083,0.6639375,0.666,0.66796875,0.679171875,0.00326324273178796
11,"0.4",0.48684375,0.624203477083333,0.621359375,0.624328125,0.627203125,0.639828125,0.00423481403934568
11,"0.45",0.444578125,0.579605281302083,0.576609375,0.579765625,0.582734375,0.596,0.00453194766631819
11,"0.5",0.39584375,0.536465797916667,0.53378125,0.5366875,0.539546875,0.555609375,0.00611678474404001
11,"0.55",0.31978125,0.478191395,0.474515625,0.477953125,0.481875,0.4985625,0.00564823634401401
11,"0.6",0.25284375,0.438241698958333,0.433859375,0.4380625,0.44275,0.4618125,0.00653433494763293
