"queen","most_mutation","most_generation","fast_mutation","fast_generation","fast_solution","adaptive_generation"
8,"0.95",101,"0.75",45,92,91
9,"0.95",249,"0.8",121,352,186
10,"0.9",633,"0.8",261,724,417
11,"0.85",812,"0.7",444,312,364
12,"0.85",1701,"0.65",457,328,463
13,"0.8",1030,"0.7",448,696,582
14,"0.8",3103,"0.65",494,432,609
15,"0.8",5659,"0.65",598,1320,513
16,"0.8",13015,"0.65",662,800,606
18,"0.75",16459,"0.65",911,1840,688
20,"0.75",107801,"0.55",889,880,862
22,"0.7",32896,"0.5",1234,744,1211
24,"0.7",113779,"0.4",1209,640,1182
26,"0.7",1143851,"0.45",1599,520,942
32,"0.65",4321895,"0.5",2298,4480,1995
